DrugID,DiseaseID
DB00996,MESH:D000236
DB00927,MESH:D000236
DB08895,MESH:D000236
DB00605,MESH:D000236
DB04930,MESH:D000236
DB00780,MESH:D000236
DB01065,MESH:D000236
DB00753,MESH:D000236
DB00554,MESH:D000236
DB01406,MESH:D000236
DB00175,MESH:D000236
DB01393,MESH:D000236
DB00898,MESH:D000236
DB01234,MESH:D000236
DB00945,MESH:D000236
DB00995,MESH:D000236
DB00717,MESH:D000236
DB11672,MESH:D000236
DB00201,MESH:D000236
DB00158,MESH:D000236
DB00215,MESH:D000275
DB00620,MESH:D000303
DB00603,MESH:D000303
DB00898,MESH:D000303
DB00201,MESH:D000303
DB01026,MESH:D000303
DB02709,MESH:D000303
DB04839,MESH:D000303
DB01234,MESH:D000303
DB00648,MESH:D000303
DB00604,MESH:D000307
DB00295,MESH:D000307
DB08907,MESH:D000307
DB01234,MESH:D000307
DB01011,MESH:D000307
DB00169,MESH:D000307
DB01200,MESH:D000307
DB00620,MESH:D000309
DB00907,MESH:D000309
DB00292,MESH:D000309
DB00255,MESH:D000309
DB00959,MESH:D000309
DB00860,MESH:D000309
DB00635,MESH:D000309
DB00741,MESH:D000309
DB00977,MESH:D000309
DB00162,MESH:D000309
DB00371,MESH:D000309
DB01708,MESH:D000309
DB00351,MESH:D000309
DB01234,MESH:D000309
DB00313,MESH:D000310
DB04630,MESH:D000310
DB00648,MESH:D000310
DB01708,MESH:D000312
DB01234,MESH:D000312
DB00795,MESH:D000361
DB01603,MESH:D000380
DB04817,MESH:D000380
DB01229,MESH:D000380
DB00495,MESH:D000380
DB00763,MESH:D000380
DB01607,MESH:D000380
DB01050,MESH:D000380
DB01140,MESH:D000380
DB00328,MESH:D000380
DB00599,MESH:D000380
DB00845,MESH:D000380
DB00703,MESH:D000380
DB00250,MESH:D000380
DB08805,MESH:D000380
DB00812,MESH:D000380
DB00563,MESH:D000380
DB00773,MESH:D000380
DB00997,MESH:D000380
DB00758,MESH:D000380
DB00848,MESH:D000380
DB00541,MESH:D000380
DB00208,MESH:D000380
DB00371,MESH:D000380
DB00550,MESH:D000380
DB01331,MESH:D000380
DB00570,MESH:D000380
DB00968,MESH:D000380
DB00446,MESH:D000380
DB01248,MESH:D000380
DB00389,MESH:D000380
DB00242,MESH:D000380
DB00115,MESH:D000380
DB00479,MESH:D000380
DB00795,MESH:D000380
DB00361,MESH:D000380
DB00468,MESH:D000380
DB00907,MESH:D000380
DB01181,MESH:D000380
DB00679,MESH:D000380
DB00564,MESH:D000380
DB00290,MESH:D000380
DB00309,MESH:D000380
DB00544,MESH:D000380
DB00363,MESH:D000380
DB00313,MESH:D000380
DB00477,MESH:D000380
DB01056,MESH:D000380
DB00613,MESH:D000380
DB01045,MESH:D000380
DB00908,MESH:D000380
DB00573,MESH:D000380
DB00319,MESH:D000380
DB06209,MESH:D000380
DB00993,MESH:D000380
DB04570,MESH:D000380
DB00531,MESH:D000380
DB00196,MESH:D000380
DB00698,MESH:D000380
DB01035,MESH:D000380
DB01103,MESH:D000380
DB00772,MESH:D000382
DB04930,MESH:D000382
DB00431,MESH:D000382
DB00394,MESH:D000402
DB11672,MESH:D000402
DB00722,MESH:D000402
DB00652,MESH:D000402
DB00178,MESH:D000402
DB01075,MESH:D000402
DB00316,MESH:D000402
DB00502,MESH:D000402
DB00783,MESH:D000402
DB00668,MESH:D000402
DB01411,MESH:D000402
DB00474,MESH:D000402
DB01222,MESH:D000402
DB01189,MESH:D000402
DB00584,MESH:D000402
DB00898,MESH:D000402
DB01400,MESH:D000402
DB00277,MESH:D000402
DB00818,MESH:D000402
DB00572,MESH:D000402
DB00683,MESH:D000402
DB00433,MESH:D000402
DB00871,MESH:D000402
DB00808,MESH:D000419
DB00622,MESH:D000419
DB01115,MESH:D000419
DB00171,MESH:D000419
DB14509,MESH:D000419
DB00136,MESH:D000419
DB01599,MESH:D000419
DB00412,MESH:D000419
DB01356,MESH:D000419
DB00605,MESH:D000419
DB01032,MESH:D000419
DB00864,MESH:D000419
DB00197,MESH:D000419
DB00688,MESH:D000419
DB00177,MESH:D000419
DB00722,MESH:D000419
DB09220,MESH:D000419
DB11672,MESH:D000419
DB01181,MESH:D000419
DB00788,MESH:D000419
DB00877,MESH:D000419
DB00584,MESH:D000419
DB00264,MESH:D000419
DB05990,MESH:D000419
DB01132,MESH:D000419
DB00661,MESH:D000419
DB01005,MESH:D000419
DB00428,MESH:D000419
DB00542,MESH:D000419
DB00343,MESH:D000419
DB00790,MESH:D000419
DB00997,MESH:D000419
DB00595,MESH:D000419
DB01136,MESH:D000419
DB00966,MESH:D000419
DB09235,MESH:D000419
DB00575,MESH:D000419
DB00158,MESH:D000419
DB00519,MESH:D000419
DB00492,MESH:D000419
DB01054,MESH:D000419
DB00925,MESH:D000419
DB01275,MESH:D000419
DB00178,MESH:D000419
DB01340,MESH:D000419
DB01098,MESH:D000419
DB00481,MESH:D000419
DB09121,MESH:D000419
DB00590,MESH:D000419
DB00678,MESH:D000419
DB00783,MESH:D000419
DB00806,MESH:D000419
DB01029,MESH:D000419
DB00275,MESH:D000419
DB00224,MESH:D000419
DB01234,MESH:D000419
DB02709,MESH:D000419
DB00999,MESH:D000419
DB00641,MESH:D000419
DB00158,MESH:D000430
DB00186,MESH:D000430
DB00252,MESH:D000430
DB00371,MESH:D000430
DB00152,MESH:D000430
DB00898,MESH:D000430
DB00502,MESH:D000430
DB00475,MESH:D000430
DB00571,MESH:D000430
DB00829,MESH:D000430
